,Date,Close
686,2013-11-17,477.38
687,2013-11-18,669.01
688,2013-11-19,536.01
689,2013-11-20,599.0
690,2013-11-21,720.0
691,2013-11-22,795.0
692,2013-11-23,829.15
693,2013-11-24,800.05
694,2013-11-25,817.88
695,2013-11-26,916.3
696,2013-11-27,963.98
697,2013-11-28,1012.98
698,2013-11-29,1131.99
699,2013-11-30,1119.52
700,2013-12-01,955.0
701,2013-12-02,1047.47
702,2013-12-03,1055.0
703,2013-12-04,1132.01
704,2013-12-05,1023.87
705,2013-12-06,814.91
706,2013-12-07,693.3
707,2013-12-08,787.0
708,2013-12-09,899.9
709,2013-12-10,979.23
710,2013-12-11,879.04
711,2013-12-12,871.22
712,2013-12-13,885.98
713,2013-12-14,850.78
714,2013-12-15,862.0
715,2013-12-16,691.0
716,2013-12-17,673.62
717,2013-12-18,520.0
718,2013-12-19,685.0
719,2013-12-20,610.0
720,2013-12-21,595.03
721,2013-12-22,612.66
722,2013-12-23,654.76
723,2013-12-24,652.99
724,2013-12-25,679.01
725,2013-12-26,747.0
726,2013-12-27,721.08
727,2013-12-28,715.0
728,2013-12-29,728.0
729,2013-12-30,736.51
730,2013-12-31,732.0
731,2014-01-01,754.9
732,2014-01-02,784.19
733,2014-01-03,809.4
734,2014-01-04,828.79
735,2014-01-05,905.0
736,2014-01-06,919.24
737,2014-01-07,785.0
738,2014-01-08,823.45
739,2014-01-09,824.76
740,2014-01-10,852.61
741,2014-01-11,896.59
742,2014-01-12,844.05
743,2014-01-13,823.0
744,2014-01-14,815.99
745,2014-01-15,841.14
746,2014-01-16,814.4
747,2014-01-17,797.2
748,2014-01-18,810.0
749,2014-01-19,842.07
750,2014-01-20,826.02
751,2014-01-21,824.89
752,2014-01-22,819.2
753,2014-01-23,812.0
754,2014-01-24,780.0
755,2014-01-25,806.8
756,2014-01-26,814.75
757,2014-01-27,751.95
758,2014-01-28,788.0
759,2014-01-29,794.21
760,2014-01-30,799.99
761,2014-01-31,803.0
762,2014-02-01,813.23
763,2014-02-02,814.99
764,2014-02-03,808.5
765,2014-02-04,802.99
766,2014-02-05,782.33
767,2014-02-06,763.99
768,2014-02-07,705.01
769,2014-02-08,680.49
770,2014-02-09,687.37
771,2014-02-10,687.81
772,2014-02-11,675.1
773,2014-02-12,651.99
774,2014-02-13,604.11
775,2014-02-14,669.0
776,2014-02-15,655.83
777,2014-02-16,621.0
778,2014-02-17,633.66
779,2014-02-18,627.7
780,2014-02-19,623.01
781,2014-02-20,561.86
782,2014-02-21,581.35
783,2014-02-22,610.88
784,2014-02-23,610.09
785,2014-02-24,535.49
786,2014-02-25,535.0
787,2014-02-26,585.24
788,2014-02-27,583.0
789,2014-02-28,551.89
790,2014-03-01,567.48
791,2014-03-02,566.24
792,2014-03-03,677.69
793,2014-03-04,673.0
794,2014-03-05,669.99
795,2014-03-06,669.57
796,2014-03-07,632.79
797,2014-03-08,620.0
798,2014-03-09,640.0
799,2014-03-10,629.39
800,2014-03-11,632.1
801,2014-03-12,634.95
802,2014-03-13,641.01
803,2014-03-14,630.42
804,2014-03-15,637.24
805,2014-03-16,634.99
806,2014-03-17,621.11
807,2014-03-18,612.0
808,2014-03-19,611.2
809,2014-03-20,587.98
810,2014-03-21,570.0
811,2014-03-22,565.31
812,2014-03-23,561.0
813,2014-03-24,585.99
814,2014-03-25,583.77
815,2014-03-26,581.49
816,2014-03-27,475.0
817,2014-03-28,502.01
818,2014-03-29,491.99
819,2014-03-30,460.0
820,2014-03-31,454.83
821,2014-04-01,478.98
822,2014-04-02,439.0
823,2014-04-03,451.03
824,2014-04-04,452.2
825,2014-04-05,464.8
826,2014-04-06,456.27
827,2014-04-07,447.11
828,2014-04-08,453.57
829,2014-04-09,441.69
830,2014-04-10,363.12
831,2014-04-11,423.0
832,2014-04-12,423.42
833,2014-04-13,416.3
834,2014-04-14,458.5
835,2014-04-15,521.0
836,2014-04-16,530.0
837,2014-04-17,500.09
838,2014-04-18,483.11
839,2014-04-19,503.8
840,2014-04-20,500.0
841,2014-04-21,496.74
842,2014-04-22,490.0
843,2014-04-23,492.0
844,2014-04-24,502.2
845,2014-04-25,466.52
846,2014-04-26,459.0
847,2014-04-27,430.0
848,2014-04-28,442.9
849,2014-04-29,448.0
850,2014-04-30,448.85
851,2014-05-01,460.97
852,2014-05-02,454.5
853,2014-05-03,439.0
854,2014-05-04,438.04
855,2014-05-05,433.0
856,2014-05-06,428.01
857,2014-05-07,440.0
858,2014-05-08,437.69
859,2014-05-09,452.37
860,2014-05-10,455.39
861,2014-05-11,440.0
862,2014-05-12,442.5
863,2014-05-13,439.12
864,2014-05-14,446.0
865,2014-05-15,446.0
866,2014-05-16,447.31
867,2014-05-17,449.06
868,2014-05-18,446.91
869,2014-05-19,448.34
870,2014-05-20,489.0
871,2014-05-21,493.98
872,2014-05-22,529.99
873,2014-05-23,523.77
874,2014-05-24,528.44
875,2014-05-25,573.9
876,2014-05-26,581.88
877,2014-05-27,572.7
878,2014-05-28,580.66
879,2014-05-29,572.37
880,2014-05-30,621.0
881,2014-05-31,627.8
882,2014-06-01,630.99
883,2014-06-02,661.22
884,2014-06-03,670.14
885,2014-06-04,640.59
886,2014-06-05,661.48
887,2014-06-06,647.16
888,2014-06-07,657.13
889,2014-06-08,658.0
890,2014-06-09,648.83
891,2014-06-10,648.55
892,2014-06-11,620.5
893,2014-06-12,569.1
894,2014-06-13,592.0
895,2014-06-14,566.58
896,2014-06-15,588.55
897,2014-06-16,586.91
898,2014-06-17,606.48
899,2014-06-18,607.0
900,2014-06-19,593.4
901,2014-06-20,588.02
902,2014-06-21,591.29
903,2014-06-22,600.34
904,2014-06-23,588.22
905,2014-06-24,572.62
906,2014-06-25,560.4
907,2014-06-26,579.99
908,2014-06-27,599.99
909,2014-06-28,589.56
910,2014-06-29,599.89
911,2014-06-30,641.11
912,2014-07-01,638.25
913,2014-07-02,650.5
914,2014-07-03,645.99
915,2014-07-04,629.0
916,2014-07-05,630.0
917,2014-07-06,630.57
918,2014-07-07,622.09
919,2014-07-08,623.98
920,2014-07-09,621.97
921,2014-07-10,616.87
922,2014-07-11,635.0
923,2014-07-12,638.1
924,2014-07-13,630.88
925,2014-07-14,621.17
926,2014-07-15,622.9
927,2014-07-16,616.86
928,2014-07-17,622.2
929,2014-07-18,632.6
930,2014-07-19,628.63
931,2014-07-20,627.0
932,2014-07-21,622.73
933,2014-07-22,618.26
934,2014-07-23,621.0
935,2014-07-24,601.66
936,2014-07-25,602.93
937,2014-07-26,596.23
938,2014-07-27,590.3
939,2014-07-28,586.53
940,2014-07-29,585.95
941,2014-07-30,563.84
942,2014-07-31,582.04
943,2014-08-01,598.2
944,2014-08-02,589.59
945,2014-08-03,588.91
946,2014-08-04,588.5
947,2014-08-05,581.76
948,2014-08-06,581.16
949,2014-08-07,585.84
950,2014-08-08,588.02
951,2014-08-09,587.97
952,2014-08-10,590.96
953,2014-08-11,573.98
954,2014-08-12,566.69
955,2014-08-13,548.81
